PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PAN,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
MC,01,001,Jorge Armando Narváez Narváez,Verónica Sánchez Alejandre
MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN-PRI-PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRI,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI-PRD,01,001,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM_PT_MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_PT,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT_MORENA,01,001,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
MC,01,002,Jorge Armando Narváez Narváez,Verónica Sánchez Alejandre
MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN-PRI-PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRI,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI-PRD,01,002,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM_PT_MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_PT,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT_MORENA,01,002,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
MC,01,003,Jorge Armando Narváez Narváez,Verónica Sánchez Alejandre
MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN-PRI-PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRI,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PAN-PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PRI-PRD,01,003,Juan Antonio Martín del Campo Martín del Campo,Francisco Javier Luévano Núñez
PVEM_PT_MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_PT,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PVEM_MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PT_MORENA,01,003,Nora Ruvalcaba Gamez,Jennifer Kristel Parra Salas
PAN,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,001,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,001,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,001,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,001,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,001,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,002,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,002,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,002,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,002,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,002,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,003,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,003,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,003,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,003,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,003,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,004,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,004,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,004,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,004,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,004,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,005,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,005,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,005,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,005,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,005,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,006,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,006,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,006,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,006,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,006,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,007,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,007,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,007,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,007,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,007,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,008,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,008,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,008,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,008,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,008,Gustavo Sánchez Vásquez,José Máximo García López
PAN,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PRI,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PRD,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PVEM,02,009,Juan Carlos Hank Krauss,Rommel Arvizu Rashid
PT,02,009,Jaime Bonilla Valdez,Rogelio Alberto Marín Sagrista
MC,02,009,David Saúl Guakil,Rodrigo Aníbal Otañez Licona
MORENA,02,009,Julieta Andrea Ramírez Padilla,Cleotilde Molina López
PAN-PRI-PRD,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRI,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PAN-PRD,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PRI-PRD,02,009,Gustavo Sánchez Vásquez,José Máximo García López
PAN,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PRI,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PRD,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PVEM,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PT,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
MC,03,001,Álvaro de la Peña Angulo,Blanca Esthela Meza Torres
MORENA,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PAN-PRI-PRD,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PAN-PRI,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PAN-PRD,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PRI-PRD,03,001,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PVEM_PT_MORENA,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PVEM_PT,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PVEM_MORENA,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PT_MORENA,03,001,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PAN,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PRI,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PRD,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PVEM,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PT,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
MC,03,002,Álvaro de la Peña Angulo,Blanca Esthela Meza Torres
MORENA,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PAN-PRI-PRD,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PAN-PRI,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PAN-PRD,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PRI-PRD,03,002,Susana del Carmen Zataraín García,Yesenia Ramírez Saldaña
PVEM_PT_MORENA,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PVEM_PT,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PVEM_MORENA,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PT_MORENA,03,002,Jesús Lucía Trasviña Waldenrath,María Elba Lombera Romero
PAN,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PRI,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PRD,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PVEM,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PT,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
MC,04,001,Candidato por definir,Candidato por definir
MORENA,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PAN-PRI-PRD,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PAN-PRI,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PAN-PRD,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PRI-PRD,04,001,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PVEM_PT_MORENA,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PVEM_PT,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PVEM_MORENA,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PT_MORENA,04,001,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PAN,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PRI,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PRD,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PVEM,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PT,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
MC,04,002,Candidato por definir,Candidato por definir
MORENA,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PAN-PRI-PRD,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PAN-PRI,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PAN-PRD,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PRI-PRD,04,002,Karla Guadalupe Toledo Zamora,Yamilé Candelaria Gómez Manzanero
PVEM_PT_MORENA,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PVEM_PT,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PVEM_MORENA,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PT_MORENA,04,002,María Martína Kantún Can,Ixchel Víctoria Pat Caamal
PAN,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,001,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,001,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,001,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,002,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,002,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,002,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,003,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,003,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,003,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,004,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,004,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,004,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,005,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,005,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,005,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,006,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,006,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,006,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,007,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,007,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,007,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRD,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
MC,05,008,Valeria López Luévanos,Nancy Alejandra Ramírez Rodríguez
MORENA,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN-PRI-PRD,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRI,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PAN-PRD,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PRI-PRD,05,008,Miguel Ángel Riquelme Solís,Gabriel Elizondo Pérez
PVEM_PT_MORENA,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_PT,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PVEM_MORENA,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PT_MORENA,05,008,Luis Fernando Salazar Fernández,Wendy Balcazár Pérez
PAN,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PRI,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PRD,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PVEM,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
PT,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
MC,06,001,Griselda Martínez Martínez,Ma. Remedios Olivera Orozco
MORENA,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
PAN-PRI-PRD,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PAN-PRI,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PAN-PRD,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PRI-PRD,06,001,Mely Romero Celis,Martha Leticia Sosa Govea
PVEM_PT_MORENA,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
PVEM_PT,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
PVEM_MORENA,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
PT_MORENA,06,001,Virgilio Mendoza Amezcua,Edgar Noé Larios Carrasco
PAN,06,002,Mely Romero Celis,Martha Leticia Sosa Govea
PRI,06,002,Mely Romero Celis,Martha Leticia Sosa Govea
PRD,06,002,Mely Romero Celis,Martha Leticia Sosa Govea
