PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
PT,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,034,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,034,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,034,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,035,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,035,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,035,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
MC,15,036,Fernando Alberto García Cuévas,Julio de Jesús Ramos García
MORENA,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN-PRI-PRD,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRI,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PAN-PRD,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI-PRD,15,036,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM_PT_MORENA,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_PT,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PVEM_MORENA,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PT_MORENA,15,036,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
PAN,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PRI,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PRD,15,037,Enrique Vargas del Villar,Héctor Quezada Quezada
PVEM,15,037,Higinio Martínez Miranda,Sandra Luz Falcón Venegas
